singer_name,photo_url,singer_styles,date,n_songs
Mc Luan,https://www.vagalume.com.br/mc-luan/images/mc-luan.jpg,"['Funk Carioca', 'Axé', 'Sertanejo']",2009-10-01,32
Mc Leozinho do Recife,https://www.vagalume.com.br/mc-leozinho-do-recife/images/mc-leozinho-do-recife.jpg,"['Funk Carioca', 'Rap', 'Axé']",2008-08-01,31
Cidinho e Doca,https://www.vagalume.com.br/mcs-cidinho-e-doca/images/mcs-cidinho-e-doca.jpg,"['Funk Carioca', 'Funk', 'Rap']",2004-04-01,31
Pancadão do Caldeirão do Huck,https://www.vagalume.com.br/pancadao-do-caldeirao-do-huck/images/pancadao-do-caldeirao-do-huck.jpg,"['Funk Carioca', 'Electronica', 'Hip Hop']",2006-11-01,30
Bonde Das Maravilhas,https://www.vagalume.com.br/bonde-das-maravilhas/images/bonde-das-maravilhas.jpg,"['Funk Carioca', 'Pagode', 'Dance']",2012-05-01,29
Mc Pekeno,https://www.vagalume.com.br/mc-pekeno/images/mc-pekeno.jpg,"['Funk Carioca', 'Funk', 'Rap']",2008-04-01,29
MC Tati Zaqui,https://www.vagalume.com.br/mc-tati-zaqui/images/mc-tati-zaqui.jpg,"['Funk Carioca', 'Funk', 'Sertanejo']",2014-01-01,29
Mc Magrinho,https://www.vagalume.com.br/mc-magrinho/images/mc-magrinho.jpg,"['Funk Carioca', 'Funk', 'Axé']",2012-05-01,29
Mc Gui,https://www.vagalume.com.br/mc-gui/images/mc-gui.jpg,"['Funk Carioca', 'Funk', 'Pop']",2012-10-01,27
David Bolado,https://www.vagalume.com.br/david-bolado/images/david-bolado.jpg,"['Funk Carioca', 'Funk', 'Axé']",2007-03-01,27
Mc Boy do Charme,https://www.vagalume.com.br/mc-boy-do-charme/images/mc-boy-do-charme.jpg,"['Funk Carioca', 'Rap', 'Funk']",2011-08-01,27
Mc Maiquinho,https://www.vagalume.com.br/mc-maiquinho/images/mc-maiquinho.jpg,"['Funk Carioca', 'Funk', 'Pagode']",2008-07-01,26
Mc Menorzinha,https://www.vagalume.com.br/mc-menorzinha/images/mc-menorzinha.jpg,"['Funk Carioca', 'Funk', 'Rap']",2008-05-01,25
MC Papo,https://www.vagalume.com.br/mc-papo/images/mc-papo.jpg,"['Funk Carioca', 'Hip Hop', 'Funk']",2007-10-01,25
Mc Kevinho,https://www.vagalume.com.br/mc-kevinho/images/mc-kevinho.jpg,"['Funk Carioca', 'Axé', 'Romântico']",2014-06-01,24
Os Magrinhos,https://www.vagalume.com.br/os-magrinhos/images/os-magrinhos.jpg,['Funk Carioca'],2006-07-01,24
MC Lan,https://www.vagalume.com.br/mc-lan/images/mc-lan.jpg,"['Funk Carioca', 'Funk', 'Rap']",2008-08-01,23
Mc Primo,https://www.vagalume.com.br/mc-primo/images/mc-primo.jpg,"['Funk Carioca', 'Funk', 'Rap']",2004-07-01,23
Mc Kauan,https://www.vagalume.com.br/mc-kauan/images/mc-kauan.jpg,"['Funk Carioca', 'Funk', 'Pop/Punk']",2008-04-01,23
Os Caçadores,https://www.vagalume.com.br/os-cacadores/images/os-cacadores.jpg,"['Funk Carioca', 'Funk', 'Axé']",2006-01-01,23
Mc Gil do Andarai,https://www.vagalume.com.br/mc-gil-do-andarai/images/mc-gil-do-andarai.jpg,"['Funk Carioca', 'Axé', 'MPB']",2006-03-01,22
Mc Roba Cena,https://www.vagalume.com.br/mc-roba-cena/images/mc-roba-cena.jpg,"['Funk Carioca', 'Funk', 'Hip Hop']",2008-03-01,22
Mc Careca,https://www.vagalume.com.br/mc-careca/images/mc-careca.jpg,"['Funk Carioca', 'Rap', 'Black Music']",2007-01-01,21
Mc Carol,https://www.vagalume.com.br/mc-carol/images/mc-carol.jpg,"['Funk Carioca', 'Pagode', 'Sertanejo']",2008-07-01,21
Robinho da Prata,https://www.vagalume.com.br/robinho-da-prata/images/robinho-da-prata.jpg,"['Funk Carioca', 'Funk', 'Folk']",2006-02-01,21
Naldo & Lula,https://www.vagalume.com.br/naldo-lula/images/naldo-lula.jpg,"['Funk Carioca', 'Romântico', 'Pop']",2003-06-01,21
Edu Gueda,https://www.vagalume.com.br/edu-gueda/images/edu-gueda.jpg,"['Pop', 'Funk Carioca', 'Sertanejo']",2016-03-01,21
